S1,S2,S3,S4,S5,S6,S7,S8,time
1.333,8.647,1.149,18.89,-0.682,5.035,0.905,0.478,0.53515625
5.727,7.67,10.427,13.031,1.76,4.059,1.394,1.455,0.5390625
7.192,3.764,13.357,2.289,5.666,3.571,2.858,3.896,0.54296875
4.751,0.346,9.45,-6.5,9.084,4.547,5.3,6.826,0.546875
1.821,-0.142,2.614,-6.989,10.061,6.012,7.253,8.779,0.55078125
0.844,1.811,-0.315,2.289,9.572,8.453,8.23,8.779,0.5546875
3.286,6.694,4.079,14.496,8.108,10.895,8.718,6.826,0.55859375
6.704,9.135,11.403,20.355,6.154,11.871,8.23,5.361,0.5625
7.192,8.158,15.798,14.496,5.666,11.383,7.741,5.849,0.56640625
3.774,3.276,10.915,-0.153,5.178,9.43,6.765,7.802,0.5703125
-0.621,-2.096,-0.315,-13.824,5.178,6.989,5.788,8.291,0.57421875
-2.574,-4.537,-10.081,-17.242,4.201,4.547,5.3,5.849,0.578125
-0.621,-2.096,-10.569,-9.43,4.69,4.059,4.812,1.943,0.58203125
4.262,3.276,0.173,4.242,5.666,4.547,4.812,-1.963,0.5859375
8.169,8.647,14.821,13.031,6.154,4.547,4.323,-2.452,0.58984375
8.169,10.111,22.146,12.543,5.666,4.059,4.323,0.478,0.59375
5.239,6.694,16.774,5.707,4.201,2.594,3.835,4.873,0.59765625
1.333,0.834,3.103,-0.641,3.713,1.617,4.323,8.291,0.6015625
-0.132,-2.584,-9.593,-1.617,4.201,2.594,5.3,7.802,0.60546875
1.821,-0.631,-11.058,1.801,5.666,5.035,6.765,4.384,0.609375
5.239,5.229,-0.315,6.195,7.131,7.965,7.253,0.478,0.61328125
8.169,11.088,14.333,7.172,8.108,9.43,6.765,-1.475,0.6171875
8.169,11.576,22.634,4.73,7.619,7.965,4.812,-0.987,0.62109375
7.192,6.694,19.704,0.824,6.154,5.035,3.347,1.455,0.625
6.215,0.834,9.939,-3.082,5.178,3.571,2.858,4.873,0.62890625
6.215,-1.607,3.103,-6.5,3.713,4.059,2.858,6.337,0.6328125
6.704,0.834,3.591,-8.453,3.713,6.989,2.858,6.337,0.63671875
7.192,7.182,8.962,-6.5,3.713,9.43,2.858,4.384,0.640625
6.704,12.553,11.403,0.824,4.69,9.43,2.858,1.943,0.64453125
5.727,13.529,6.032,11.566,6.154,6.5,3.347,-0.01,0.6484375
5.239,10.111,-3.245,17.914,7.619,2.594,3.835,0.478,0.65234375
5.239,4.74,-8.128,16.449,8.108,1.129,4.323,2.431,0.65625
5.727,1.811,-2.268,6.683,7.619,2.594,4.812,4.384,0.66015625
7.68,2.787,12.868,-2.106,7.131,5.524,4.323,5.361,0.6640625
10.61,7.67,27.028,-1.617,7.131,9.43,5.3,5.361,0.66796875
15.493,14.994,31.423,8.148,9.084,11.871,6.765,5.849,0.671875
18.911,21.342,22.146,19.867,11.037,12.36,8.23,6.826,0.67578125
19.887,24.272,7.985,22.308,11.525,11.383,8.718,7.802,0.6796875
16.958,21.342,-1.292,11.566,10.061,9.43,7.741,7.802,0.68359375
12.563,14.018,0.173,-6.5,8.596,7.965,6.276,6.826,0.6875
9.145,4.74,8.962,-19.684,8.108,7.965,4.812,4.873,0.69140625
8.169,-1.607,16.774,-18.707,9.572,9.43,5.3,3.408,0.6953125
10.122,-2.584,17.751,-3.571,11.037,11.871,7.253,3.896,0.69921875
13.051,2.787,13.845,15.472,11.525,13.336,8.718,6.337,0.703125
14.516,12.065,9.939,26.703,10.549,13.824,8.23,8.779,0.70703125
14.516,20.365,9.939,24.75,9.084,12.36,7.253,10.244,0.7109375
15.004,24.76,14.333,14.008,9.084,10.895,6.276,9.755,0.71484375
16.958,24.272,18.728,5.219,12.014,10.406,6.765,8.291,0.71875
19.887,20.854,20.681,6.195,14.943,10.895,7.741,6.337,0.72265625
19.887,16.459,18.239,14.496,15.432,11.383,8.718,4.873,0.7265625
16.958,12.553,14.333,21.332,12.99,10.895,8.23,4.873,0.73046875
11.098,10.6,9.939,18.402,8.108,8.942,6.765,4.873,0.734375
6.215,11.088,5.056,5.707,4.69,7.477,5.788,4.873,0.73828125
5.239,12.553,0.661,-7.477,4.201,6.989,4.323,4.384,0.7421875
6.704,13.529,-2.268,-13.336,6.154,7.965,4.812,4.873,0.74609375
8.657,12.065,-1.292,-8.453,8.596,9.918,5.788,7.314,0.75
8.169,7.182,4.567,2.777,9.084,10.406,6.276,10.732,0.75390625
6.215,0.346,14.333,12.543,7.131,9.918,5.3,12.685,0.7578125
6.215,-3.56,23.61,16.937,5.666,8.453,5.3,11.709,0.76171875
10.122,-1.119,27.517,16.937,6.154,8.453,5.3,7.802,0.765625
15.981,7.67,23.122,15.961,8.108,8.942,6.276,3.408,0.76953125
18.911,18.412,12.38,15.961,10.061,7.965,6.765,0.478,0.7734375
15.981,24.272,1.149,14.984,10.061,6.5,6.276,1.943,0.77734375
8.169,20.854,-5.686,11.566,7.131,5.035,5.3,4.873,0.78125
0.844,10.6,-5.686,5.219,4.201,5.524,3.835,7.802,0.78515625
-1.597,0.346,-0.315,-1.129,2.248,6.989,3.347,6.826,0.7890625
1.821,-4.537,6.521,-6.012,1.76,8.453,2.858,3.408,0.79296875
7.192,-1.119,9.939,-6.5,2.736,6.989,2.858,-0.498,0.796875
8.657,5.717,8.474,-3.571,2.736,3.571,1.882,-1.475,0.80078125
7.192,11.088,5.544,0.336,2.736,0.641,1.882,0.966,0.8046875
4.262,11.576,4.567,5.219,2.736,1.129,2.37,5.361,0.80859375
4.262,8.647,7.497,9.613,4.201,5.035,4.323,8.779,0.8125
6.704,5.717,11.892,14.496,5.666,9.918,6.765,9.755,0.81640625
8.169,3.764,12.868,16.449,5.666,11.383,6.765,8.779,0.8203125
7.192,4.252,7.985,14.984,4.201,8.942,5.3,6.337,0.82421875
